Plant,Scientific Name,Location,Spot,Sunlight,CO₂ Absorption (kg/year),Notes,Buy Link,Climate Zones
Kangaroo Paw,Anigozanthos,Urban Garden,Ground,Full Sun,1.2,Attracts birds,https://www.australianplants.com.au/products/anigozanthos-kangaroo-paw,Subtropical|Temperate
Lilly Pilly,Syzygium smithii,Urban Garden,Pot,Partial Shade,4.5,Edible berries,https://www.bunnings.com.au/p/lilly-pilly,Temperate|Mediterranean
Native Violet,Viola hederacea,Urban Garden,Balcony,Full Shade,0.8,Great groundcover,https://www.australianplantsonline.com.au/viola-hederacea.html,Temperate
Pigface,Carpobrotus rossii,Coastal,Balcony,Full Sun,0.9,Drought tolerant,https://www.australianplantsonline.com.au/carpobrotus-pigface.html,Arid|Subtropical
Grevillea,Grevillea robusta,Urban Garden,Ground,Full Sun,2.1,Nectar-rich,https://www.bunnings.com.au/p/grevillea-golden-rain,Subtropical|Temperate
Bottlebrush,Callistemon citrinus,Urban Garden,Ground,Full Sun,2.5,Attracts pollinators,https://www.australianplantsonline.com.au/callistemon-citrinus.html,Temperate|Subtropical
Wattle,Acacia pycnantha,Urban Garden,Ground,Full Sun,3.0,National flower of Australia,https://www.bunnings.com.au/p/wattle-acacia,Temperate|Arid
Bluebell Creeper,Billardiera heterophylla,Urban Garden,Pot,Partial Shade,1.5,Low-maintenance vine,https://www.australianplantsonline.com.au/bluebell-creeper.html,Mediterranean|Temperate
Banksia,Banksia serrata,Coastal,Ground,Full Sun,2.8,Unique cone-like flowers,https://www.bunnings.com.au/p/banksia-serrata,Temperate
Emu Bush,Eremophila maculata,Arid Garden,Ground,Full Sun,2.2,Drought-resistant,https://www.australianplantsonline.com.au/emu-bush.html,Arid
River Red Gum,Eucalyptus camaldulensis,Urban Garden,Ground,Full Sun,10.0,Large tree with high carbon offset,https://www.australianplantsonline.com.au/eucalyptus-camaldulensis.html,Temperate|Subtropical
Correa,Correa reflexa,Urban Garden,Pot,Partial Shade,1.8,Attracts birds,https://www.bunnings.com.au/p/correa-reflexa,Temperate|Mediterranean
Grass Tree,Xanthorrhoea australis,Urban Garden,Pot,Full Sun,3.2,Iconic native grass,https://www.bunnings.com.au/p/grass-tree,Subtropical|Temperate
Hakea,Hakea laurina,Coastal,Ground,Full Sun,2.3,Unusual red & white flowers,https://www.australianplantsonline.com.au/hakea-laurina.html,Mediterranean
Waratah,Telopea speciosissima,Urban Garden,Pot,Partial Shade,3.0,NSW state emblem,https://www.bunnings.com.au/p/waratah-plant,Temperate
Coast Rosemary,Westringia fruticosa,Coastal,Ground,Full Sun,1.6,Salt tolerant,https://www.australianplantsonline.com.au/westringia-fruticosa.html,Coastal|Temperate
Grevillea rosmarinifolia,Urban Garden,Pot,Full Sun,2.0,Compact shrub with red flowers,https://www.bunnings.com.au/p/grevillea-rosmarinifolia,Temperate
Mullumbimby Quassia,Quassia sp.,Rainforest,Ground,Partial Shade,1.9,Medicinal properties,https://www.australianplantsonline.com.au/quassia.html,Subtropical
River Mint,Mentha australis,Urban Garden,Pot,Partial Shade,0.7,Edible herb,https://www.australianplantsonline.com.au/river-mint.html,Temperate|Subtropical
